Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),under_2,under_3,under_4,under_5,under_6,Overall,D,Hard_rate,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,VN,VP,FS,FF,FB,FE
9/11/2022,449,tibia,27887,2675,0,1,14,40,30,12,2,1,15,55,85,97,99,4.4,0.0959228314268297,t,i,b,i,a,4,3,11,0.5711384257317969,0.06436285097192225,0.016090712742980563,8.968342214213655e-06
9/12/2022,450,booze,29147,2883,0,1,7,27,38,23,4,1,8,35,73,96,100,4.87,0.0989124095104127,b,o,o,z,e,4,3,13,0.5373516266395038,0.07473002159827213,0.018682505399568033,1.702852091704337e-05
9/13/2022,451,alpha,29497,2706,0,3,19,40,28,9,1,3,22,62,90,99,100,4.24,0.0917381428619859,a,l,p,h,a,4,2,17,0.5911731913093757,0.06090712742980561,0.015226781857451403,0.000402099298042272
9/14/2022,452,thyme,32142,2938,1,5,24,41,23,5,0,6,30,71,94,99,99,3.92,0.0914068819612967,t,h,y,m,e,1,1,1,0.5049992511437031,0.06436285097192225,0.016090712742980563,1.4559957916284804e-05
9/15/2022,453,doubt,33344,3011,1,12,32,34,16,4,0,13,45,79,95,99,99,3.61,0.090301103646833,d,o,u,b,t,1,2,12,0.44626945329031653,0.04794816414686825,0.011987041036717062,0.0002934355590085529
9/16/2022,454,parer,37309,4130,0,0,4,11,15,22,48,0,4,15,30,52,100,5.99,0.1106971508215176,p,a,r,e,r,4,2,10,0.7273965600439869,0.061339092872570194,0.015334773218142549,5.494748972666592e-07
9/17/2022,455,chute,33418,3073,0,11,37,36,12,3,0,11,48,84,96,99,99,3.55,0.091956430666108,c,h,u,t,e,1,2,5,0.5279044122937275,0.08552915766738661,0.021382289416846653,1.204881978479466e-05
9/18/2022,456,stick,33102,3038,1,9,36,35,14,4,0,10,46,81,95,99,99,3.61,0.0917769319074376,s,t,i,c,k,1,1,4,0.5101458942306855,0.15809935205183584,0.03952483801295896,0.0003235988183654876
9/19/2022,457,trice,35050,3430,0,5,24,25,18,17,11,5,29,54,72,89,100,4.51,0.0978601997146933,t,r,i,c,e,1,2,5,0.6446139438055802,0.06436285097192225,0.016090712742980563,5.121902357830973e-06
9/20/2022,458,alike,31277,2843,0,6,20,33,27,12,2,6,26,59,86,98,100,4.25,0.0908974645905937,a,l,i,k,e,1,3,21,0.6572839113848653,0.06090712742980561,0.015226781857451403,8.987064003122734e-05
9/21/2022,459,recap,31976,2900,0,5,30,35,21,8,1,5,35,70,91,99,100,4.0,0.0906930197648236,r,e,c,a,p,1,2,10,0.6588846276927667,0.04535637149028078,0.011339092872570195,4.1346880828443705e-05
9/22/2022,460,saint,34455,3119,1,14,35,29,15,5,1,15,50,79,94,99,100,3.62,0.0905238717167319,s,a,i,n,t,1,2,12,0.6702884505281616,0.15809935205183584,0.03952483801295896,0.0005624069451452461
9/23/2022,461,glory,31509,2893,0,6,30,39,19,5,0,6,36,75,94,99,99,3.83,0.0918150369735631,g,l,o,r,y,1,1,4,0.5045423738156873,0.04967602591792657,0.012419006479481642,0.0001901047632250051
9/24/2022,462,grate,32777,3077,1,14,29,28,16,8,3,15,44,72,88,96,99,3.77,0.0938768038563627,g,r,a,t,e,1,2,5,0.6888795103391823,0.04967602591792657,0.012419006479481642,9.71058262534236e-06
9/25/2022,463,admit,28994,2677,0,10,25,34,22,8,1,10,35,69,91,99,100,3.96,0.0923294474718907,a,d,m,i,t,1,2,18,0.5367452617865827,0.06090712742980561,0.015226781857451403,0.00012685360607703303
9/26/2022,464,brisk,31706,2884,0,5,23,38,24,7,1,5,28,66,90,97,98,4.0,0.0909607014445215,b,r,i,s,k,1,1,4,0.517057973637421,0.07473002159827213,0.018682505399568033,1.1181931179586533e-05
9/27/2022,465,soggy,30985,2888,0,2,18,38,28,11,2,2,20,58,86,97,99,4.3,0.093206390188801,s,o,g,g,y,4,1,8,0.4760352000966318,0.15809935205183584,0.03952483801295896,4.789521620558689e-06
9/28/2022,466,usurp,31355,3007,0,3,21,38,26,9,1,3,24,62,88,97,98,4.12,0.0959017700526231,u,s,u,r,p,4,2,20,0.5292730500298833,0.014254859611231102,0.0035637149028077755,2.477014460371045e-06
9/29/2022,467,scald,30477,2829,0,4,23,36,24,11,2,4,27,63,87,98,100,4.21,0.0928240968599271,s,c,a,l,d,1,1,4,0.603760648908808,0.15809935205183584,0.03952483801295896,1.4712618726071227e-06
9/30/2022,468,scorn,31223,2859,0,8,31,35,20,6,1,8,39,74,94,100,101,3.92,0.0915671139864843,s,c,o,r,n,1,1,4,0.6080333979775003,0.15809935205183584,0.03952483801295896,8.999345346398916e-06
10/1/2022,469,leave,28202,2696,0,4,16,34,31,12,1,4,20,54,85,97,98,4.26,0.0955960570172328,l,e,a,v,e,4,3,13,0.7306956621663004,0.03801295896328294,0.009503239740820735,0.0010251223219099566
10/2/2022,470,twine,30088,2775,0,6,28,40,20,5,1,6,34,74,94,99,100,3.93,0.0922294602499335,t,w,i,n,e,1,2,5,0.5624389570650994,0.06436285097192225,0.016090712742980563,6.002082147386928e-06
10/3/2022,471,sting,32288,2969,1,10,30,33,18,8,2,11,41,74,92,100,102,3.95,0.0919536669970267,s,t,i,n,g,1,1,4,0.543552813419667,0.15809935205183584,0.03952483801295896,4.006516280218823e-05
10/4/2022,472,bough,32014,3060,0,3,17,35,28,13,3,3,20,55,83,96,99,4.36,0.0955831823577185,b,o,u,g,h,1,2,12,0.37374138131255963,0.07473002159827213,0.018682505399568033,7.513376489372132e-06
10/5/2022,473,marxh,30935,2885,0,9,30,35,19,6,1,9,39,74,93,99,100,3.86,0.0932600614191045,m,a,r,x,h,1,1,8,0.4431463638112104,0.04622030237580994,0.011555075593952484,0.0
10/6/2022,474,sloth,32522,2987,1,10,38,34,13,3,0,11,49,83,96,99,99,3.54,0.0918455199557222,s,l,o,t,h,1,1,4,0.5869619153372863,0.15809935205183584,0.03952483801295896,7.504144895026194e-06
10/7/2022,475,dandy,29026,2840,0,2,11,23,29,24,11,2,13,36,65,89,100,4.949999999999999,0.09784331289189,d,a,n,d,y,4,1,8,0.48579440885040726,0.04794816414686825,0.011987041036717062,1.5865455604971286e-05
10/8/2022,476,vigor,26905,2642,0,2,15,35,31,14,2,2,17,52,83,97,99,4.42,0.0981973610853001,v,i,g,o,r,1,2,10,0.46428515637112544,0.018574514038876888,0.004643628509719222,1.4122519034906639e-05
10/9/2022,477,howdy,28408,2668,0,2,13,32,32,17,4,2,15,47,79,96,100,4.61,0.0939172064207265,h,o,w,d,y,1,1,8,0.366576907947017,0.029805615550755938,0.0074514038876889845,1.049775301834253e-05
10/10/2022,478,enjoy,26878,2654,0,3,12,29,33,20,3,3,15,44,77,97,100,4.64,0.0987424659572884,e,n,j,o,y,1,2,18,0.5119229717698403,0.031101511879049675,0.007775377969762419,0.0007243905672536629
10/11/2022,479,valid,28575,2752,0,4,28,38,21,8,1,4,32,70,91,99,100,4.04,0.0963079615048119,v,a,l,i,d,1,2,10,0.502412938615469,0.018574514038876888,0.004643628509719222,0.0008248438360728453
10/12/2022,480,ionic,29151,2947,0,2,13,25,28,21,11,2,15,40,68,89,100,4.859999999999999,0.1010943020822613,i,o,n,i,c,4,3,26,0.5307249435621766,0.01468682505399568,0.00367170626349892,2.6121395749820382e-05
10/13/2022,481,equal,27197,2677,0,5,23,35,25,11,2,5,28,63,88,99,101,4.239999999999999,0.0984299738941795,e,q,u,a,l,1,3,22,0.5816842031449532,0.031101511879049675,0.007775377969762419,0.0005032209111769971
10/14/2022,482,floor,28906,2752,0,3,23,44,24,6,0,3,26,70,94,100,100,4.07,0.0952051477201965,f,l,o,o,r,4,2,6,0.555751100839023,0.05874730021598272,0.01468682505399568,0.0007766653153834965
10/15/2022,483,catch,30403,3123,0,7,18,20,15,16,23,7,25,45,60,76,99,4.8,0.1027201263033253,c,a,t,c,h,4,1,8,0.48972775476263486,0.08552915766738661,0.021382289416846653,0.0002947317095273774
10/16/2022,484,spade,30459,2854,1,8,29,36,19,6,1,9,38,74,93,99,100,3.86,0.0936997275025444,s,p,a,d,e,1,2,5,0.6926749045588223,0.15809935205183584,0.03952483801295896,2.264651673065706e-05
10/17/2022,485,stein,31269,2965,1,12,34,32,16,5,1,13,47,79,95,100,101,3.7199999999999993,0.0948223480124084,s,t,e,i,n,1,2,6,0.7000769041976689,0.15809935205183584,0.03952483801295896,5.624979464172102e-05
10/18/2022,486,exist,28612,2805,0,5,24,38,23,8,1,5,29,67,90,98,99,4.04,0.0980357891793653,e,x,i,s,t,1,2,20,0.6136987643972436,0.031101511879049675,0.007775377969762419,0.0003662173188094703
10/19/2022,487,quirk,28322,2794,0,3,23,39,24,9,2,3,26,65,89,98,100,4.19,0.0986512251959607,q,u,i,r,k,1,2,12,0.3799655667970697,0.009935205183585313,0.002483801295896328,6.4154379806044086e-06
10/20/2022,488,denim,28741,2769,0,5,29,40,20,5,0,5,34,74,94,99,99,3.87,0.0963432030896628,d,e,n,i,m,1,2,10,0.5496822153824203,0.04794816414686825,0.011987041036717062,6.844315605629832e-05
10/21/2022,489,grove,28637,2794,0,4,18,30,28,17,3,4,22,52,80,97,100,4.45,0.0975660858330132,g,r,o,v,e,1,2,5,0.5567716369309579,0.04967602591792657,0.012419006479481642,0.00021944168653593204
10/22/2022,490,spiel,29084,2810,0,7,32,36,19,6,1,7,39,75,94,100,101,3.92,0.0966166964654105,s,p,i,e,l,1,2,6,0.6692510930363256,0.15809935205183584,0.03952483801295896,1.172978801962824e-05
10/23/2022,491,mummy,29279,3021,0,1,4,14,27,37,18,1,5,19,46,83,101,5.529999999999999,0.1031797534068786,m,u,m,m,y,27,1,8,0.32172953985769903,0.04622030237580994,0.011555075593952484,2.714483139154272e-05
10/24/2022,492,fault,28947,2768,0,7,27,35,22,8,1,7,34,69,91,99,100,4.0,0.0956230352022662,f,a,u,l,t,1,2,12,0.5168282946485047,0.05874730021598272,0.01468682505399568,0.00018943786360341326
10/25/2022,493,foggy,28953,2817,0,2,13,35,32,15,3,2,15,50,82,97,100,4.54,0.0972956170345041,f,o,g,g,y,4,1,8,0.3421904583750406,0.05874730021598272,0.01468682505399568,1.0176221932641137e-05
10/26/2022,494,flout,30063,2904,0,6,28,37,21,7,1,6,34,71,92,99,100,3.98,0.0965971459934138,f,l,o,u,t,1,2,6,0.4724860306380519,0.05874730021598272,0.01468682505399568,1.0459006326580707e-06
10/27/2022,495,carry,27609,2615,0,4,22,35,24,12,3,4,26,61,85,97,100,4.2700000000000005,0.0947154913252924,c,a,r,r,y,4,1,8,0.5942594277359754,0.08552915766738661,0.021382289416846653,0.0004775649235834433
10/28/2022,496,sneak,27905,2636,0,7,28,36,21,7,1,7,35,71,92,99,100,3.96,0.094463357821179,s,n,e,a,k,1,2,6,0.6940840514686197,0.15809935205183584,0.03952483801295896,3.295169204535116e-05
10/29/2022,497,libel,25156,2536,0,3,15,32,32,16,2,3,18,50,82,98,100,4.489999999999999,0.100810939736047,l,i,b,e,l,4,2,10,0.5976413641060916,0.03801295896328294,0.009503239740820735,1.2523040574161493e-05
10/30/2022,498,waltz,24672,2496,0,2,11,29,35,19,3,2,13,42,77,96,99,4.63,0.1011673151750972,w,a,l,t,z,1,1,8,0.4451796778843786,0.035853131749460046,0.008963282937365011,2.489238015889195e-05
10/31/2022,499,aptly,26498,2572,0,3,26,41,23,7,1,3,29,70,93,100,101,4.120000000000001,0.0970639293531587,a,p,t,l,y,1,1,16,0.5320169648884691,0.06090712742980561,0.015226781857451403,8.644629640646478e-06
11/2/2022,501,inept,27670,2640,0,6,30,39,20,6,1,6,36,75,95,101,102,4.01,0.0954101915431875,i,n,e,p,t,1,2,20,0.5924623104375165,0.01468682505399568,0.00367170626349892,6.624398513655494e-06
11/3/2022,502,aloud,29554,2819,1,18,31,30,15,4,1,19,50,80,95,99,100,3.56,0.0953847194965148,a,l,o,u,d,1,3,22,0.576102943724716,0.06090712742980561,0.015226781857451403,5.408729005445023e-05
11/4/2022,503,photo,27330,2565,0,5,34,43,15,3,0,5,39,82,97,100,100,3.77,0.0938529088913282,p,h,o,t,o,4,2,5,0.5017386315203445,0.061339092872570194,0.015334773218142549,0.0032812647331582107
11/5/2022,504,dream,29743,2751,5,14,31,29,15,4,1,19,50,79,94,98,99,3.48,0.092492351141445,d,r,e,a,m,1,2,6,0.656924103667653,0.04794816414686825,0.011987041036717062,0.0004842407965425676
11/6/2022,505,stale,31068,3013,2,19,30,27,15,6,2,21,51,78,93,99,101,3.63,0.0969808162739796,s,t,a,l,e,1,2,5,0.7803764629297893,0.15809935205183584,0.03952483801295896,1.5395482215819956e-05
11/7/2022,506,begin,26096,2439,0,6,26,36,23,7,1,6,32,68,91,98,99,3.98,0.0934625996321275,b,e,g,i,n,1,2,10,0.520037769109465,0.07473002159827213,0.018682505399568033,0.0006563952807690679
11/8/2022,507,spell,27213,2531,0,4,24,37,24,9,1,4,28,65,89,98,99,4.09,0.0930070187042957,s,p,e,l,l,4,1,4,0.6652155459729873,0.15809935205183584,0.03952483801295896,0.0001228863753594197
11/9/2022,508,rainy,28984,2678,1,16,38,31,11,3,1,17,55,86,97,100,101,3.51,0.0923958045818382,r,a,i,n,y,1,2,12,0.5953207162025143,0.04535637149028078,0.011339092872570195,3.5670764977187283e-05
11/10/2022,509,unite,27467,2575,1,11,31,33,18,5,1,12,43,76,94,99,100,3.75,0.0937488622710889,u,n,i,t,e,1,3,21,0.6084582862722582,0.014254859611231102,0.0035637149028077755,4.173322088478027e-05
11/11/2022,510,medal,25993,2438,0,5,25,38,23,8,1,5,30,68,91,99,100,4.07,0.0937944831300734,m,e,d,a,l,1,2,10,0.6299817741145408,0.04622030237580994,0.011555075593952484,0.00011192096046224721
11/12/2022,511,valet,24660,2356,0,4,22,38,25,9,1,4,26,64,89,98,99,4.12,0.0955393349553933,v,a,l,e,t,1,2,10,0.6334236027750041,0.018574514038876888,0.004643628509719222,2.9655088259722843e-05
11/13/2022,512,inane,25085,2515,0,8,25,30,21,13,3,8,33,63,84,97,100,4.15,0.1002591189954155,i,n,a,n,e,4,3,21,0.6915217590887747,0.01468682505399568,0.00367170626349892,4.613529003466024e-06
11/14/2022,513,maple,26536,2467,1,6,26,36,21,8,1,7,33,69,90,98,99,3.95,0.0929680434127223,m,a,p,l,e,1,2,9,0.6200786147111046,0.04622030237580994,0.011555075593952484,0.00014020106125424764
11/15/2022,514,snarl,27475,2650,0,5,21,31,24,15,4,5,26,57,81,96,100,4.3500000000000005,0.0964513193812556,s,n,a,r,l,1,1,4,0.6939452647860611,0.15809935205183584,0.03952483801295896,2.667468463911729e-06
11/16/2022,515,baker,25576,2541,0,5,16,23,24,22,10,5,21,44,68,90,100,4.72,0.0993509540193931,b,a,k,e,r,1,2,10,0.6178408091620288,0.07473002159827213,0.018682505399568033,0.00021471720503704066
11/17/2022,516,there,27465,2530,0,14,35,33,14,4,0,14,49,82,96,100,100,3.5900000000000007,0.0921172401237939,t,h,e,r,e,4,2,5,0.7261197712046412,0.06436285097192225,0.016090712742980563,0.010129763536804368
11/18/2022,517,glyph,29208,2899,0,2,23,49,20,5,1,2,25,74,94,99,100,4.06,0.0992536291427006,g,l,y,p,h,1,0,0,0.3534811035892206,0.04967602591792657,0.012419006479481642,9.134178632831838e-06
11/19/2022,518,avert,24749,2400,0,7,26,35,22,9,1,7,33,68,90,99,100,4.03,0.0969736150955594,a,v,e,r,t,1,2,20,0.6603659323281161,0.06090712742980561,0.015226781857451403,1.1087087021713167e-05
11/20/2022,519,brave,24991,2396,1,6,17,27,27,18,5,7,24,51,78,96,101,4.5,0.0958745148253371,b,r,a,v,e,1,2,5,0.5987660793836316,0.07473002159827213,0.018682505399568033,7.543261428439435e-05
11/21/2022,520,axiom,24288,2382,0,5,19,33,27,13,3,5,24,57,84,97,100,4.33,0.0980731225296442,a,x,i,o,m,1,3,22,0.49518114722352663,0.06090712742980561,0.015226781857451403,2.1605007967609578e-05
11/22/2022,521,prime,27437,2534,1,10,26,32,21,9,1,11,37,69,90,99,100,3.93,0.0923570361191092,p,r,i,m,e,1,2,5,0.5843229173738917,0.061339092872570194,0.015334773218142549,0.0005534391663616733
11/23/2022,522,drive,26663,2451,1,12,32,30,18,6,1,13,45,75,93,99,100,3.74,0.0919251397067096,d,r,i,v,e,1,2,5,0.5591437218380886,0.04794816414686825,0.011987041036717062,0.0015573709918923985
11/24/2022,523,feast,27705,2725,5,13,25,27,19,10,2,18,43,70,89,99,101,3.830000000000001,0.0983576971665764,f,e,a,s,t,1,2,12,0.704968940197086,0.05874730021598272,0.01468682505399568,6.0186181143483686e-05
11/25/2022,524,itchy,24197,2329,0,8,28,40,18,5,1,8,36,76,94,99,100,3.87,0.0962516014381948,i,t,c,h,y,1,1,16,0.42437645401242063,0.01468682505399568,0.00367170626349892,1.7075805750054726e-05
11/26/2022,525,clean,26381,2424,1,17,36,31,12,3,0,18,54,85,97,100,100,3.45,0.0918843106781395,c,l,e,a,n,1,2,6,0.6635181410691235,0.08552915766738661,0.021382289416846653,0.0006556274259341906
11/27/2022,526,happy,25206,2356,0,6,28,39,19,6,1,6,34,73,92,98,99,3.9,0.0934698087756883,h,a,p,p,y,4,1,8,0.43103936592645076,0.029805615550755938,0.0074514038876889845,0.0009169750176228482
11/28/2022,527,tepid,26051,2484,0,10,38,35,13,3,0,10,48,83,96,99,99,3.5700000000000003,0.095351426048904,t,e,p,i,d,1,2,10,0.5707896269114836,0.06436285097192225,0.016090712742980563,3.1883673148305557e-06
11/29/2022,528,undue,23739,2316,0,3,19,35,29,13,2,3,22,57,86,99,101,4.4,0.0975609756097561,u,n,d,u,e,4,3,19,0.5327171566726947,0.014254859611231102,0.0035637149028077755,1.9901627117919227e-05
12/1/2022,530,eject,22628,2200,0,2,11,35,36,14,2,2,13,48,84,98,100,4.55,0.0972246773908432,e,j,e,c,t,4,2,20,0.6055584633833591,0.031101511879049675,0.007775377969762419,1.3508032909851686e-05
12/2/2022,531,chafe,24646,2343,0,6,30,33,19,9,2,6,36,69,88,97,99,3.97,0.0950661364927371,c,h,a,f,e,1,2,5,0.553161894219336,0.08552915766738661,0.021382289416846653,1.7167587156752287e-06
12/3/2022,532,torso,23873,2260,0,4,35,36,17,6,1,4,39,75,92,98,99,3.85,0.094667616135383,t,o,r,s,o,4,2,9,0.6888458107924886,0.06436285097192225,0.016090712742980563,2.55647551705575e-05
12/4/2022,533,adore,25577,2398,2,17,32,29,15,5,1,19,51,80,95,100,101,3.6,0.0937561090041834,a,d,o,r,e,1,3,21,0.7327486998375214,0.06090712742980561,0.015226781857451403,1.6993068127489488e-05
12/5/2022,534,woken,23153,2200,0,2,10,25,36,23,4,2,12,37,73,96,100,4.8,0.0950200837904375,w,o,k,e,n,1,2,10,0.5121038403255974,0.035853131749460046,0.008963282937365011,5.26307785070813e-06
12/6/2022,535,amber,23509,2261,0,6,22,33,24,12,3,6,28,61,85,97,100,4.23,0.0961759326215491,a,m,b,e,r,1,2,18,0.6338484343228707,0.06090712742980561,0.015226781857451403,0.00015986271025999102
12/7/2022,536,joust,24899,2388,0,6,29,34,21,8,2,6,35,69,90,98,100,4.0200000000000005,0.0959074661632997,j,o,u,s,t,1,2,12,0.5017311409307017,0.008639308855291577,0.0021598272138228943,2.315974425669687e-06
12/8/2022,537,infer,21199,1863,0,3,19,33,26,14,3,3,22,55,81,95,98,4.3,0.0878815038445209,i,n,f,e,r,1,2,18,0.5939245237973155,0.01468682505399568,0.00367170626349892,1.595722256472934e-05
12/9/2022,538,braid,23640,2165,0,10,36,35,14,3,0,10,46,81,95,98,98,3.5600000000000005,0.0915820642978003,b,r,a,i,d,1,2,6,0.555521024621868,0.07473002159827213,0.018682505399568033,1.418610001568359e-05
12/10/2022,539,knock,21157,2041,0,3,18,43,27,8,1,3,21,64,91,99,100,4.220000000000001,0.0964692536749066,k,n,o,c,k,4,1,4,0.38377202666050014,0.008639308855291577,0.0021598272138228943,7.506648549643018e-05
12/11/2022,540,naive,21947,2075,1,7,24,32,24,11,1,8,32,64,88,99,100,4.08,0.0945459516106985,n,a,i,v,e,1,3,13,0.6206076497646726,0.015982721382289417,0.003995680345572354,2.670500876514565e-05
12/12/2022,541,apply,22873,2150,0,5,28,38,22,7,1,5,33,71,93,100,101,4.05,0.0939972893804922,a,p,p,l,y,4,1,16,0.48358962188533033,0.06090712742980561,0.015226781857451403,0.0011029007146562265
12/13/2022,542,spoke,24101,2224,0,6,31,38,19,5,0,6,37,75,94,99,99,3.82,0.0922783287000539,s,p,o,k,e,1,2,5,0.6181659445286978,0.15809935205183584,0.03952483801295896,0.0001672654665335465
12/14/2022,543,usual,20824,2048,0,3,20,39,27,10,1,3,23,62,89,99,100,4.24,0.098348059930849,u,s,u,a,l,4,3,22,0.618241669201699,0.014254859611231102,0.0035637149028077755,0.00024624780943069776
12/15/2022,544,rival,22176,2127,0,7,27,35,22,8,1,7,34,69,91,99,100,4.0,0.0959145021645021,r,i,v,a,l,1,2,10,0.5686294835364095,0.04535637149028078,0.011339092872570195,6.20961243342667e-05
12/16/2022,545,probe,22853,2160,0,6,24,32,24,11,3,6,30,62,86,97,100,4.19,0.0945171312300354,p,r,o,b,e,1,2,5,0.5937620817678115,0.061339092872570194,0.015334773218142549,0.00013932340967910567
12/17/2022,546,chord,22336,2088,0,7,39,38,13,3,0,7,46,84,97,100,100,3.66,0.0934813753581661,c,h,o,r,d,1,1,4,0.4753732395036998,0.08552915766738661,0.021382289416846653,4.5124249867036204e-05
12/18/2022,547,taper,22166,2108,0,8,28,30,20,11,3,8,36,66,86,97,100,4.07,0.0951006045294595,t,a,p,e,r,1,2,10,0.699704198722749,0.06436285097192225,0.016090712742980563,1.869533656283768e-05
12/19/2022,548,slate,26010,2422,6,14,33,27,13,5,1,20,53,80,93,98,99,3.43,0.093118031526336,s,l,a,t,e,1,2,5,0.7803764629297893,0.15809935205183584,0.03952483801295896,5.5099240379263304e-05
12/20/2022,549,third,24137,2261,1,10,47,32,9,2,0,11,58,90,99,101,101,3.47,0.0936736131250776,t,h,i,r,d,1,1,4,0.4978370476538099,0.06436285097192225,0.016090712742980563,0.001379527273993568
12/21/2022,550,lunar,22180,2036,0,5,32,40,17,4,0,5,37,77,94,98,98,3.75,0.0917944093778178,l,u,n,a,r,1,2,10,0.6023266468606505,0.03801295896328294,0.009503239740820735,5.217864708822298e-05
12/22/2022,551,excel,20490,2034,0,1,13,34,34,15,2,1,14,48,82,97,99,4.51,0.0992679355783309,e,x,c,e,l,4,2,18,0.6069284549382057,0.031101511879049675,0.007775377969762419,0.00020418535724145805
12/23/2022,552,aorta,21937,2112,0,7,26,35,20,10,3,7,33,68,88,98,101,4.130000000000001,0.0962756985914208,a,o,r,t,a,4,3,25,0.7414844297677168,0.06090712742980561,0.015226781857451403,9.261311700506724e-06
12/24/2022,553,poise,20281,1911,2,11,34,32,15,6,1,13,47,79,94,100,101,3.72,0.09422612297224,p,o,i,s,e,1,3,13,0.691642402979536,0.061339092872570194,0.015334773218142549,4.901312038475538e-06
12/25/2022,554,extra,15554,1562,1,5,20,35,28,10,1,6,26,61,89,99,100,4.180000000000001,0.1004243281471004,e,x,t,r,a,1,2,17,0.644901901851793,0.031101511879049675,0.007775377969762419,0.0008578203624072116
12/26/2022,555,judge,20011,2043,0,2,8,16,26,33,14,2,10,26,52,85,99,5.18,0.1020938483833891,j,u,d,g,e,1,2,9,0.41889839286724007,0.008639308855291577,0.0021598272138228943,0.00044649468536416437
12/27/2022,556,condo,20879,2012,0,2,17,35,29,14,3,2,19,54,83,97,100,4.45,0.0963647684276066,c,o,n,d,o,4,2,9,0.5057709440108824,0.08552915766738661,0.021382289416846653,9.310832919753995e-05
12/28/2022,557,impel,20160,1937,0,3,21,40,25,9,1,3,24,64,89,98,99,4.15,0.0960813492063492,i,m,p,e,l,1,2,18,0.5573805878207796,0.01468682505399568,0.00367170626349892,1.2488945796921408e-06
12/29/2022,558,havoc,20001,1919,0,2,16,38,30,12,2,2,18,56,86,98,100,4.4,0.095945202739863,h,a,v,o,c,1,2,10,0.46592305810618195,0.029805615550755938,0.0074514038876889845,2.4446981013844594e-05
12/30/2022,559,molar,21204,1973,0,4,21,38,26,9,1,4,25,63,89,98,99,4.140000000000001,0.0930484814186002,m,o,l,a,r,1,2,10,0.6220676013555211,0.04622030237580994,0.011555075593952484,9.394295778682556e-06
12/31/2022,560,manly,20380,1899,0,2,17,37,29,12,2,2,19,56,85,97,99,4.34,0.093179587831207,m,a,n,l,y,1,1,8,0.5109095533594058,0.04622030237580994,0.011555075593952484,1.8210092758625857e-05
